,job_title,salary_min,salary_max,company_name,company_location,link
36,Senior Project Manager,"95,400","143,200",PBC Solutions,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=72977c6eaa399e8f&bb=RIuvvpgOiXCn7RBNNVXhkGhqJuMBJIEIqkqu9hgyRByV9p4kHkZtKv7yIJ3baUzM&xkcb=SoD467M3H8oBSv2fxp0KbzkdCdPP&fccid=bfb5eefe4de84495&vjs=3
37,Enterprise Architect,click link to find,click link to find,British Columbia Investment Management Corporation...,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=42a732476d1bd63f&bb=RIuvvpgOiXBp9JRXtVWeRMuMTdR4rEi3MnAftz_JgjtHoFThgdoFapBkokAfXjG4&xkcb=SoDR67M3H8oBSv2fxp0IbzkdCdPP&fccid=b6c48b02cbfe9184&vjs=3
38,Senior Advanced Research Computing Systems Administrator,"88,631","115,304",University of Victoria,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=d799ad423460fadd&bb=RIuvvpgOiXBVpriG6BUlN7qkOdCuTbNszTLJFRg370EYGkh7dubjjqpq5QYyPckf&xkcb=SoDr67M3H8oBSv2fxp0ObzkdCdPP&fccid=95737967a35b2629&vjs=3
39,Lead Product Manager,click link to find,click link to find,Launch Potato,"Remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=eaa8e9789f0148b2&bb=SeSYOUVg_zAMYrdY6vfZWK2TBhmomTYzZAfSBM6ShABFjJvpbO7Tv7gA0umv98Uh&xkcb=SoDr67M3H8oBSuWfxp0JbzkdCdPP&fccid=dac5dfa9f05470c2&vjs=3
40,Manufacturing Automation Engineer,"85,000","106,000",Redlen Technologies Inc.,"Saanichton, BC",https://ca.indeed.com/rc/clk?jk=3626c15290ec6572&bb=SeSYOUVg_zAgNRJh-HgVDQV7hGP1RQ5I3YlebCJj4rDeYvRbqiOi-XeI2K9X-5Dj&xkcb=SoD467M3H8oBSuWfxp0NbzkdCdPP&fccid=0bc2db0193877842&vjs=3
41,Intermediate Distribution Designer,"60,000","80,000",Primary,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=1e5cd09f7d0ea01a&bb=SeSYOUVg_zAlJ1amcDLECgP1zNZwMHrHa_vfQjWh4u10gnPjtRDkNKJt71I3Wfe0&xkcb=SoCl67M3H8oBSuWfxp0DbzkdCdPP&fccid=b304ffe41ad3ab92&vjs=3
42,Library Learning Commons Technician - C2324/166,28.65,none,School District #63 (Saanich),"Sidney, BC",https://ca.indeed.com/rc/clk?jk=72ec98c679e12430&bb=qu9jiP6xdN_BL4RR2m2OU6C8imQi0tWwABDzWoPculrGeg59We005KfTxKcQqfOn&xkcb=SoAz67M3H8oBSu2fxp0KbzkdCdPP&fccid=16c7af166445770e&vjs=3
43,"Specialist, VMWare and Datacenter Operations",44.31,63.69,Island Health,"Victoria, BC",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdhZh5tc8MRMJNR5Ga3YaHN_EkjYhlKZ_L1mFyvlxMhPN6SJPSQ1gGRTzGyT6IRf4HnjTY-_WulTNtZcWA4-QVpWhQnpJlq8P9D1sII9Ucb4XGBYrDdKBDFhYrRAu6A_DKMDkY4cj5AdxhfvP9FfhGrg4625U06Gj8Lmwx834gZ7UfouhdbVuewJxKOQVyKOWYFxfsLdixu__QFBRhJpyd9ardxW6JEg6T__3QshzVlQB_nY6lq8RYX9lcF0vROm5OEWP0txICPOdTy881bwc6b9myPJmOz7efqppAD8kfMf9QBFlxAVKI7wSQqex15PZpjRUm33GbwxSz1eG93Bi54P5J9SCxE6YpNMQ_sIhzsQohg50WntVq84-bCjbjrKAeBLOAyAepwPCCLMi2aU6m3I1kNRS-UnSyLOFJlJabUmSJJdDhpJJAKRZLAQ7_6Lg5CWu442n_aRXJepRsfCK3EeGccJfK8rm-SKCTgJPYcu-uPv25XOTLQ5r1a5nRByVSRGahSvOkckzt2cMBNP3Ad6Uz22966oRma_owAdbx4fZo8BbbirQvIcisN7TtbHZsFQkgo9ltrGXAXHHoRbQAMx6h2ywvpe-6nCVpCXCITJJSrhFaja5ZwG4It6IRREo=&xkcb=SoCQ6_M3H8oBVNQ4h50HbzkdCdPP&p=12&fvj=1&vjs=3
44,Financial Data Analyst - Remote/Hybrid,"60,000","80,000",On Side Restoration,Hybrid remote in British Columbia,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLm-PabDF8h_gOI9D2bcwzII_Z1y2uGgFJLZ_-DymtSLzeRjpNqCPMb9uTKNhZZQoXyWuEPPA7rw8pJ-ZiGbwQS20bCXmb_9rPFNCu_xhTbZVOa46FGC6XI-unWfS7Uig-ZkNM088CV9ABOnWet9u-3Cs71UUmAF-dHt1mHqFNU0evbMd8gZnIWWu44raqLIQjk97WCv3b-T5BblQole88EQ7oNxcgpCu1rqOab-Hap2_BD65rrSXI6DWGga69q7m5unHCl1eFq8HRB1uR18GN50VzJ9iNLVfa_cQzVgUnBcMUbIApArKfQovQ_79H9Y7aT-CwN24tcP4c70OWzego2ddg5QvtX8LgR7ezeWWsCZ2TAvRMa_UXbPBlCEm2AeudRFn4PVYgXskttdiB-t3JuCMqFINSAD6dzJ2VuJf599pgGJe4NTmwmBat6wJLzS4pJFoZKCm-kKbtvPQWTkbs2OlfPBxqQMOvj0LBF-eBkooKlVN7WoGga2ya1WnD_5raI8PjoWdMIng0KMm_ymVfGw_DuIXsYgTrmIOKdgx8MQwBQgLV8HLzyARuHpMthAi5sHYhB3qA-85QHY1Pl4EIo7FIIbQxFwGviXZhKvwA12aagl60ZbBXF3EqR6WEpWsonzjV3AfwMg==&xkcb=SoAk6_M3H8oBVNQ4h50GbzkdCdPP&p=13&fvj=1&vjs=3
45,Library Learning Commons Technician - C2324/166,28.65,none,Saanich Schools (School District #63),"North Saanich, BC",https://ca.indeed.com/rc/clk?jk=0953c4a8cce71817&bb=Nh9SIKk1cH396eGiVlaHlr4C83Uhvkzwo74Xb9_dWr6I6ny9mk_sw6eXDugnkbID&xkcb=SoAx67M3H8oBSpWfxp0LbzkdCdPP&fccid=16c7af166445770e&cmp=School-District-63&ti=Library+Technician&vjs=3
46,Intermediate/Senior Biologist,"75,000","95,000",Archipelago Marine Research,"Esquimalt, BC",https://ca.indeed.com/rc/clk?jk=ffdc25c1b33998fb&bb=qmJWOoojPrbiLdHEWFLocvxv682lHwg3ijSBOW3V6djIav5rxVX3fqWdsYKHiLGD&xkcb=SoCq67M3H8oBPrTejJ0LbzkdCdPP&fccid=760c0f0d0ffbef4a&cmp=Archipelago-Marine-Research&ti=Senior+Biologist&vjs=3
47,Senior Software Developer,click link to find,click link to find,SECURITAS TECHNOLOGY CANADA CORPORATION,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=6ad1b74144602094&bb=qmJWOoojPrbE3gKN6BY3GvQiUz5w4iqHuh7hNn3kShd6JTeJr1qEbfum2mCfoUQd&xkcb=SoCD67M3H8oBPrTejJ0JbzkdCdPP&fccid=6735fdce837fb7bd&vjs=3
48,Physical Literacy Programmer,19.25,21.25,PACIFIC INSTITUTE FOR SPORT EDUCATION,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=f3eb9e603f5fac72&bb=scgy2gylAFdm-dUTHbXONjMYhYsH9gd_ocQi1vwKoYe7NydHWt6nr-tF-ZEwGl-3&xkcb=SoBy67M3H8oBPrzejJ0IbzkdCdPP&fccid=6b71e68698b7a77c&cmp=PISE-%28Pacific-Institute-for-Sport-Excellence%29&ti=Programmer&vjs=3
49,"Senior Manager, Enterprise Security Advisory Services",58.05,83.45,Island Health,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=f22c233870969fdb&bb=clpjHylSgfzJkneJniqnlHTyPqCBbtZezSPr8Z4NJEsoJ8E7CMK555Ahd8DkqQMb&xkcb=SoDV67M3H8oBPqTejJ0KbzkdCdPP&fccid=139e079044c36dab&vjs=3
50,Senior Technologist - Mechanical (Permanent),"75,696","109,339",Babcock International,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=af28033f53c2504e&bb=clpjHylSgfzd-cddvhkJNdbStffPKNGcv9VrcG3Peiea0EEh7x7gBTougd0lVvYD&xkcb=SoD867M3H8oBPqTejJ0IbzkdCdPP&fccid=b97fe762142888a0&vjs=3
51,Staff Android Engineer,"100,000","200,000",Recruiting From Scratch,"Remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=54f34e0599a50975&bb=clpjHylSgfx09fLjhsjFPDno2Igo36SBieTkMWI4W1zNFv1hgg0XWVf3mAM5SIYZ&xkcb=SoDG67M3H8oBPqTejJ0ObzkdCdPP&fccid=09e02654c2f26bbd&vjs=3
52,Senior Product Manager,click link to find,click link to find,Launch Potato,"Remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=26a214b53e162bb3&bb=kE1B2_LP9CRPZ7JDL3MJOg1RUqDFqF8v_WhHxhv6Fp3hUQOuxZZ1Cw-Bz3-UFNLG&xkcb=SoCQ67M3H8oBPqzejJ0KbzkdCdPP&fccid=dac5dfa9f05470c2&vjs=3
53,Senior Staff Android Engineer,"185,000","275,000",Recruiting From Scratch,"Remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=dd7b12eee6fc0eb2&bb=kE1B2_LP9CQKU7SfNYw72YSn2m6QmbPG5Xmo5IKzFN29jZ3hH81Ad0Bv-EXzSlRO&xkcb=SoC567M3H8oBPqzejJ0IbzkdCdPP&fccid=09e02654c2f26bbd&vjs=3
54,"Staff Android Engineer, Public Company","100,000","200,000",Recruiting From Scratch,"Remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=a47f175a556feddc&bb=kE1B2_LP9CSxtg1AsPP08jwUcMB0dIemjR9lJGxY-2oNcBwFzRQ1DfW6GTC2JqNx&xkcb=SoCD67M3H8oBPqzejJ0ObzkdCdPP&fccid=09e02654c2f26bbd&vjs=3
55,Senior Android Engineer,"100,000","200,000",Recruiting From Scratch,"Remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=0b49ad58ad6f0cef&bb=1Oq_-fyTEq36PYxMxwLMEgehcnexTKHymqxfx1gYIRGlMlbZezm-eWl9VJC1GWUz&xkcb=SoD967M3H8oBPVTejJ0LbzkdCdPP&fccid=09e02654c2f26bbd&vjs=3
56,"Senior iOS Engineer, Dating App","100,000","200,000",Recruiting From Scratch,"Remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=975f667af1f318a7&bb=1Oq_-fyTEq3sqFHT7u0I_-E0_yByc5l7aJcNeSyolepSwfVEM_kdrkKZidvYzuuu&xkcb=SoBg67M3H8oBPVTejJ0IbzkdCdPP&fccid=09e02654c2f26bbd&vjs=3
57,Senior Vegetation Ecologist,click link to find,click link to find,Stantec,"Sidney, BC",https://ca.indeed.com/rc/clk?jk=5a31424ae120a947&bb=1Oq_-fyTEq3SY5RSf56YgA2bjAEOBMWz51NoBD3QOM2WhycoRXaMWwfqGOdcvTEG&xkcb=SoBa67M3H8oBPVTejJ0ObzkdCdPP&fccid=f1582c464db8553b&vjs=3
58,"Specialist, VMWare and Datacenter Operations",44.31,63.69,Island Health,"Victoria, BC",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdhZh5tc8MRMJNR5Ga3YaHN_EkjYhlKZ_L1mFyvlxMhPN6SJPSQ1gGRTzGyT6IRf4HnjTY-_WulTNtZcWA4-QVpWhQnpJlq8P9D1sII9Ucb4XGBYrDdKBDFhYrRAu6A_DKMDkY4cj5AdxhfvP9FfhGrg4625U06Gj8Lmwx834gZ7UfouhdbVuevMmN_gZ7XKine76lBa1p0ZnbhVoncSnHf4NqstHyajQeTCwfzc5dZILnC-gLiyOuL7pSgiMpOurnEqFQc0spjQnTtzHCiRgV1vlzGrnCXCP3SnJl5GjdWMO46vJIlVpNlNo0kdYvFPf_quPdnPiUTxaUvHzoMQuGEzhB1s5TLrmVFRbma7ly640wI52Cyvfn8FH77GmTJZuOgJDhYXqTVH97buFMX0BJXVBtQfLwrDZOoPleqldwb542kgiusjteY0HOqBO1rRg2PhMQBzUnXGyz4ryRg7OjVQ56MVa9nyEmYXiM_zQvo0k1Mv-v1uPPiKnP_0kZcD2KDA-fTx7QD2OpBvsCtXqyN8ZHmRrQYMBwANAxhn398-C0pxCeaKpTTdKndGW8BuRLJpzinumETHb3GDiklaqxwfomhOflZaoG1Aj5HK50rGZLZTu3pUWtJF-5hsMVX-w=&xkcb=SoBS6_M3H8oBOMQVaB0HbzkdCdPP&p=12&fvj=1&vjs=3
59,Senior Intelligent Transportation Systems Engineer,click link to find,click link to find,AECOM,"Hybrid remote in Victoria, BC",https://ca.indeed.com/rc/clk?jk=3ee32326a218188a&bb=1FYK_O-eLBoJGV5EA_hzIJFyM0hM4zLFexWiSDWQ4LAvQTXeoLeSP204TF2eo1tB&xkcb=SoC467M3H8oBPVzejJ0LbzkdCdPP&fccid=bafa4b35e9cd20ce&vjs=3
60,Intermediate Vegetation Ecologist,click link to find,click link to find,Stantec,"Remote in Sidney, BC",https://ca.indeed.com/rc/clk?jk=ed5ce742b6686c04&bb=1FYK_O-eLBpZDSPdaYbmAghvj_bZZt9msKTdL25DSGOcscSulod0bnvpUVTDnzq-&xkcb=SoCR67M3H8oBPVzejJ0JbzkdCdPP&fccid=f1582c464db8553b&vjs=3
61,Senior Software Developer,click link to find,click link to find,SECURITAS TECHNOLOGY CANADA CORPORATION,"Victoria, BC",https://ca.indeed.com/rc/clk?jk=6ad1b74144602094&bb=lYcMLc_lA06mO_E0bgvj-Kg_PFwyJ8ASHAtdufijnpsLshhKvwBn9ZHsUV7dMh-j&xkcb=SoCe67M3H8oA4MTeqx0LbzkdCdPP&fccid=6735fdce837fb7bd&vjs=3
